ID_ESTACION,year,max_12_to_16_temp_month_1,max_12_to_16_temp_month_2,max_12_to_16_temp_month_3,max_12_to_16_temp_month_4,max_12_to_16_temp_month_5,max_12_to_16_temp_month_6,min_1_to_5_temp_month_1,min_1_to_5_temp_month_2,min_1_to_5_temp_month_3,min_1_to_5_temp_month_4,min_1_to_5_temp_month_5,min_1_to_5_temp_month_6,SumLightHours_month_1,SumLightHours_month_2,SumLightHours_month_3,SumLightHours_month_4,SumLightHours_month_5,SumLightHours_month_6,MeanLightHours_month_1,MeanLightHours_month_2,MeanLightHours_month_3,MeanLightHours_month_4,MeanLightHours_month_5,MeanLightHours_month_6
0,2015,19.345714285714287,20.41714285714286,23.47142857142857,24.247857142857146,29.128571428571426,35.019999999999996,-0.5885714285714286,2.068571428571429,2.7342857142857144,4.422857142857143,8.262857142857143,18.04,194.0,201.57142857142858,271.42857142857144,293.57142857142856,338.0,13.0,6.258064516129032,7.126143560872625,8.755760368663594,9.785714285714286,10.903225806451614,6.5
0,2016,19.619999999999997,20.46,23.839999999999996,23.875,28.8,34.1,0.020000000000000018,-0.019999999999999997,2.2600000000000002,4.8,4.88,12.440000000000001,188.0,203.0,266.0,288.0,332.0,349.0,6.064516129032258,7.0,8.580645161290322,9.6,10.709677419354838,11.633333333333333
0,2017,16.46,16.94,27.46,26.139999999999997,29.419999999999998,34.54,-3.46,1.3,3.16,5.16,8.5,12.059999999999999,190.0,200.0,272.0,296.0,337.0,356.0,6.129032258064516,7.142857142857143,8.774193548387096,9.866666666666667,10.870967741935484,11.866666666666667
0,2018,20.98,18.46,23.32,22.8,25.68,31.839999999999996,1.7600000000000002,-0.38,-0.3,5.36,6.26,11.9,196.0,200.0,275.0,294.0,338.0,355.0,6.32258064516129,7.142857142857143,8.870967741935484,9.8,10.903225806451612,11.833333333333334
0,2019,17.02,21.82,23.98,24.84,27.380000000000003,36.14,-2.1,1.54,2.54,5.8,6.88,9.72,200.0,200.0,278.0,293.0,339.0,351.0,6.451612903225806,7.142857142857143,8.96774193548387,9.766666666666667,10.935483870967742,11.7
0,2020,17.080000000000002,22.660000000000004,25.76,22.52,30.119999999999997,32.18,1.8399999999999999,4.18,3.7600000000000002,5.0200000000000005,10.5,12.919999999999998,194.0,211.0,275.0,296.0,342.0,353.0,6.258064516129032,7.275862068965517,8.870967741935484,9.866666666666667,11.03225806451613,11.766666666666667
0,2021,23.380000000000003,18.84,21.34,24.22,30.919999999999998,31.7,-1.94,5.180000000000001,2.96,4.1,10.440000000000001,14.080000000000002,195.0,197.0,269.0,293.0,339.0,352.0,6.290322580645161,7.035714285714286,8.67741935483871,9.766666666666667,10.935483870967742,11.733333333333333
0,2022,20.880000000000003,23.740000000000002,18.6,25.34,31.580000000000002,36.94,-0.24000000000000005,2.68,4.76,0.72,10.379999999999999,15.62,195.0,200.0,265.0,295.0,339.0,357.0,6.290322580645161,7.142857142857143,8.548387096774194,9.833333333333334,10.935483870967742,11.9
1,2015,16.845714285714287,18.959999999999997,22.482857142857142,22.868571428571425,28.662857142857142,34.720000000000006,-3.8685714285714283,-0.3457142857142857,0.3714285714285714,2.414285714285714,5.700000000000001,18.54,195.85714285714286,201.71428571428572,270.14285714285717,293.85714285714283,337.14285714285717,13.0,6.317972350230415,7.131597466572836,8.714285714285714,9.795238095238094,10.87557603686636,6.5
1,2016,17.740000000000002,17.939999999999998,23.02,22.7,29.18,34.980000000000004,-2.2,-2.3600000000000003,0.4600000000000001,2.38,3.7,11.459999999999999,189.0,199.0,260.0,286.0,330.0,346.0,6.096774193548387,6.862068965517241,8.387096774193548,9.533333333333333,10.64516129032258,11.533333333333333
1,2017,14.559999999999999,16.419999999999998,26.32,25.54,29.68,36.44,-6.04,-0.64,-0.3,2.3,5.04,11.18,194.0,202.0,272.0,296.0,338.0,349.0,6.258064516129032,7.214285714285714,8.774193548387096,9.866666666666667,10.903225806451612,11.633333333333333
