,ID_ESTACION,GustLocalDayAvg_1,GustLocalDayAvg_2,GustLocalDayAvg_3,GustLocalDayAvg_4,GustLocalDayAvg_5,GustLocalDayAvg_6,MSLPLocalDayAvg_1,MSLPLocalDayAvg_2,MSLPLocalDayAvg_3,MSLPLocalDayAvg_4,MSLPLocalDayAvg_5,MSLPLocalDayAvg_6,RelativeHumidityLocalDayAvg_1,RelativeHumidityLocalDayAvg_2,RelativeHumidityLocalDayAvg_3,RelativeHumidityLocalDayAvg_4,RelativeHumidityLocalDayAvg_5,RelativeHumidityLocalDayAvg_6,UVIndexLocalDayAvg_1,UVIndexLocalDayAvg_2,UVIndexLocalDayAvg_3,UVIndexLocalDayAvg_4,UVIndexLocalDayAvg_5,UVIndexLocalDayAvg_6,VisibilityLocalDayAvg_1,VisibilityLocalDayAvg_2,VisibilityLocalDayAvg_3,VisibilityLocalDayAvg_4,VisibilityLocalDayAvg_5,VisibilityLocalDayAvg_6,WindSpeedLocalDayAvg_1,WindSpeedLocalDayAvg_2,WindSpeedLocalDayAvg_3,WindSpeedLocalDayAvg_4,WindSpeedLocalDayAvg_5,WindSpeedLocalDayAvg_6,lluvia_daytime_avg_1,lluvia_daytime_avg_2,lluvia_daytime_avg_3,lluvia_daytime_avg_4,lluvia_daytime_avg_5,lluvia_daytime_avg_6,lluvia_night_avg_1,lluvia_night_avg_2,lluvia_night_avg_3,lluvia_night_avg_4,lluvia_night_avg_5,lluvia_night_avg_6,nieve_daytime_Avg_1,nieve_daytime_Avg_2,nieve_daytime_Avg_3,nieve_daytime_Avg_4,nieve_daytime_Avg_5,nieve_daytime_Avg_6,nieve_night_Avg_1,nieve_night_Avg_2,nieve_night_Avg_3,nieve_night_Avg_4,nieve_night_Avg_5,nieve_night_Avg_6,campaña
0,0,8.734144183989384,8.812869713102632,8.413795676165204,8.08514905962385,8.10690476190476,5.9,102201.82580645161,102146.6157635468,101755.80645161292,101428.20666666667,101617.30322580645,101532.44666666667,67.63548387096773,66.56323011963406,68.4069124423963,70.65333333333334,61.86405529953917,42.6,0.403225806451613,0.6175932441942293,1.038709677419355,1.5399999999999996,2.1345622119815664,1.45,12703.953917050692,12566.766889514427,12205.018433179723,12427.885714285716,13459.718894009216,16093.0,2.8032258064516133,2.6815446868402537,3.1032258064516123,2.655714285714286,2.343317972350231,3.35,40.8,12.514285714285716,55.028571428571425,45.25714285714286,20.22857142857143,0.0,33.6,9.942857142857145,41.65714285714285,54.51428571428572,11.828571428571426,0.0,0.01542857142857143,0.0051428571428571435,0.0,0.0,0.0,0.0,0.017142857142857144,0.0017142857142857144,0.0,0.0,0.0,0.0,15
1,1,9.463467962942753,8.959330193615907,8.781305826678496,8.496609905402474,8.57549973835688,6.25,102234.05806451612,102167.03152709361,101762.08387096775,101431.5,101629.07096774194,101553.19333333333,72.75161290322579,69.21409218859958,69.56175115207374,70.14380952380951,59.818894009216585,36.65,0.4027649769585255,0.6257389162561574,1.0382488479262675,1.5457142857142856,2.140552995391704,1.6,12317.718894009216,12307.26724137931,12143.718894009216,12397.980952380953,13268.262672811059,16093.0,3.8069124423963134,3.6304011259676288,4.088940092165899,3.5266666666666664,3.126728110599078,3.85,25.542857142857144,11.314285714285715,42.857142857142854,44.228571428571435,23.657142857142855,0.0,16.62857142857143,10.114285714285714,35.82857142857143,51.94285714285714,24.51428571428571,0.0,0.06,0.012,0.0,0.0,0.0,0.0,0.025714285714285714,0.003428571428571429,0.0,0.003428571428571429,0.0,0.0,15
2,2,9.012953216374267,8.943690476190476,8.489353265781839,8.272117604617605,8.05249433106576,0.0,102230.34838709678,102165.75137931034,101763.43870967742,101439.94933333332,101615.4329032258,101532.83600000001,69.86451612903225,66.94639338494018,67.1336405529954,68.1547619047619,59.887096774193544,41.05,0.41658986175115215,0.6424876847290638,1.0677419354838709,1.578571428571428,2.1654377880184326,1.5,12708.397235023042,12722.139813511609,12670.048847926268,12872.93380952381,13692.435483870968,16093.0,2.9714285714285715,2.835256861365236,3.2336405529953924,2.8814285714285712,2.624884792626728,3.35,20.742857142857137,5.142857142857144,43.028571428571425,38.91428571428572,14.057142857142859,0.0,19.2,3.4285714285714284,31.200000000000006,46.11428571428571,17.657142857142855,0.0,0.013714285714285715,0.0,0.0,0.0,0.0,0.0,0.0017142857142857144,0.0,0.0,0.0,0.0,0.0,15
3,3,9.285132426176213,9.06155808477237,8.659366547367854,8.484520474856609,8.161767399267399,6.3,102213.03225806452,102157.9,101758.68387096774,101429.60666666666,101625.83225806452,101547.06666666668,71.02027649769585,69.20937719915553,70.02580645161291,71.44428571428571,62.097695852534564,38.900000000000006,0.40184331797235034,0.6216220971147077,1.0368663594470047,1.542380952380952,2.137327188940091,1.5,12500.746543778801,12391.164672765659,12075.276497695853,12384.461904761903,13293.400921658987,16093.0,3.6087557603686635,3.4329697396199856,3.8903225806451602,3.3276190476190473,2.9078341013824884,3.65,31.54285714285714,8.742857142857144,44.74285714285714,35.48571428571429,16.97142857142857,0.0,25.88571428571429,8.22857142857143,38.057142857142864,43.02857142857143,16.114285714285714,0.0,0.05828571428571429,0.003428571428571429,0.0,0.0,0.0,0.0,0.022285714285714287,0.0017142857142857144,0.0,0.0,0.0,0.0,15
4,4,9.367828771061852,9.012927786499215,8.652893217893219,8.434648859543817,8.249764521193093,6.0,102229.5335483871,102164.91352216751,101770.6812903226,101446.42666666671,101620.98322580646,101541.87133333334,70.35023041474653,67.81089021815622,68.13225806451614,68.75380952380952,59.32764976958525,37.099999999999994,0.4110599078341015,0.6313159746657282,1.0562211981566823,1.5628571428571425,2.151152073732718,1.5,12605.384331797235,12518.671217452498,12333.944700460826,12669.560476190474,13506.274654377878,16093.0,3.7935483870967737,3.5734693877551016,4.053456221198156,3.500476190476191,3.055760368663594,3.85,22.8,7.542857142857143,45.25714285714285,37.371428571428574,12.0,0.0,18.514285714285712,8.914285714285713,37.542857142857144,43.54285714285715,23.82857142857143,0.0,0.03257142857142857,0.0017142857142857144,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,15
5,5,9.010442176870749,9.009233766233764,8.46858634681943,8.341916766706683,8.031029684601114,5.8,102211.41290322579,102156.64408866994,101757.70322580646,101428.82666666666,101621.87096774194,101539.37333333332,70.6110599078341,69.18624208304011,70.01013824884792,71.82904761904763,62.74884792626728,43.2,0.40460829493087563,0.6221323011963404,1.0414746543778803,1.543333333333333,2.137788018433179,1.45,12570.552995391705,12443.0109078114,12141.529953917052,12380.885714285714,13330.870967741937,16093.0,3.092626728110599,3.006562280084448,3.514285714285714,3.013333333333333,2.6391705069124423,3.5,33.08571428571429,9.942857142857141,47.65714285714285,35.65714285714286,17.142857142857142,0.0,27.942857142857147,8.571428571428573,36.00000000000001,46.62857142857143,15.42857142857143,0.0,0.03942857142857143,0.0051428571428571435,0.0,0.0,0.0,0.0,0.023999999999999997,0.0,0.0,0.0,0.0,0.0,15
6,6,9.244672232529373,9.152231807874665,8.741589002267572,8.65579126387397,8.60485902985903,6.449999999999999,102229.42580645162,102166.14655172414,101766.76129032257,101434.94666666666,101632.88387096775,101557.64666666667,72.99539170506912,69.70740675580576,70.17557603686633,71.23238095238095,61.219354838709684,36.45,0.3944700460829494,0.6090253342716395,1.0262672811059907,1.5247619047619045,2.1225806451612894,1.45,12199.119815668204,12165.669598874034,11922.741935483873,12193.2,13088.31797235023,16093.0,3.4179723502304142,3.332441942294159,3.7502304147465435,3.21952380952381,2.87557603686636,3.9000000000000004,34.457142857142856,13.200000000000001,52.285714285714285,49.54285714285714,26.400000000000002,0.0,21.771428571428572,10.457142857142857,43.885714285714286,56.05714285714286,27.257142857142863,0.0,0.06514285714285714,0.006857142857142858,0.0,0.0,0.0,0.0,0.02742857142857143,0.0017142857142857144,0.0,0.0017142857142857144,0.0,0.0,15
7,7,9.120568833594044,8.828772893772893,8.518661270080035,8.389184006936107,8.1703663003663,6.05,102219.49870967744,102161.92241379309,101772.91935483871,101448.77,101622.69870967742,101541.80066666668,70.20691244239632,68.44558409570725,69.27511520737328,70.75999999999999,61.73271889400922,41.3,0.4059907834101383,0.6251583391977479,1.0400921658986175,1.5499999999999996,2.1437788018433173,1.5,12553.084331797234,12447.182846586913,12150.067281105992,12441.327619047617,13336.532258064515,16093.0,3.3225806451612905,3.201724137931034,3.6958525345622126,3.1766666666666667,2.7861751152073735,3.55,29.485714285714288,7.5428571428571445,45.08571428571429,34.114285714285714,16.971428571428568,0.0,26.22857142857143,7.542857142857145,36.0,45.42857142857143,14.399999999999997,0.0,0.03428571428571429,0.0017142857142857144,0.0,0.0,0.0,0.0,0.013714285714285715,0.0,0.0,0.0,0.0,0.0,15
8,8,9.242871935959739,9.125488226059655,8.778510263754624,8.502982087571871,8.335238095238095,6.15,102219.56129032257,102161.31576354678,101759.74193548388,101430.27333333333,101628.65161290322,101551.68666666668,71.68064516129034,69.38467628430683,69.91751152073732,71.03761904761903,61.43087557603686,37.35,0.4027649769585254,0.6206368754398309,1.0391705069124424,1.546190476190476,2.136405529953916,1.5,12419.806451612905,12328.827234342012,12059.290322580646,12369.695238095239,13292.25806451613,16093.0,3.6857142857142864,3.531439127375088,3.9792626728110596,3.4076190476190478,2.9930875576036864,3.7,29.828571428571426,8.057142857142859,39.25714285714287,33.77142857142858,13.714285714285717,0.0,21.771428571428572,7.5428571428571445,35.65714285714286,39.94285714285714,16.45714285714286,0.0,0.05657142857142857,0.0,0.0,0.0,0.0,0.0,0.020571428571428574,0.0017142857142857144,0.0,0.0,0.0,0.0,15
9,9,9.018661236424395,9.040364201016375,8.44695125259035,8.216003067893825,7.984523809523809,6.5,102210.9058064516,102156.84830049264,101772.05032258065,101449.27066666668,101620.38903225807,101537.84866666667,69.32672811059906,67.89707952146375,68.93087557603685,70.86999999999999,62.25345622119816,43.35,0.40276497695852537,0.6175932441942293,1.0354838709677419,1.5366666666666664,2.1341013824884785,1.45,12631.386635944702,12462.789655172413,12144.063594470046,12366.610476190475,13312.260368663596,16093.0,3.147926267281106,3.0203026038001406,3.493548387096774,2.986666666666667,2.6124423963133636,3.4000000000000004,34.8,10.8,46.971428571428575,35.142857142857146,17.485714285714288,0.0,29.142857142857142,8.914285714285715,37.88571428571429,45.25714285714286,14.571428571428571,0.0,0.022285714285714287,0.0017142857142857144,0.0,0.0,0.0,0.0,0.010285714285714287,0.0,0.0,0.0,0.0,0.0,15
