campaña,id_finca,id_zona,id_estacion,altitud,variedad,modo,tipo,color,superficie,produccion,sup_tot_camp_finca,superficie_total,n_var_camp_finca,prod_shift1,prod_shift2,sup_shift1,sup_shift2,prod_shift1_gt_shift2,prod_shift_max,prod_shift_change,prod_shift_avg,prod_est_mean_change,prod_he_shift1,prod_he_shift2,prod_he_shift_change,prod_he_shift_avg,prod_he_var_zone_mean_hist,prod_he_var_zone_std_hist,prod_he_var_mean_hist,prod_he_var_std_hist,prod_var_shift_1,prod_var_shift_2,prod_he_zone_mean,prod_he_zone_std,prod_he_var_mean,prod_he_var_std,prod_finca_shift_1,prod_finca_shift_2
14,76953,515,4,660.0,26,2,0,1,2.6387681818181816,22215.0,2.6387681818181816,2.6387681818181816,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,84318,515,4,660.0,26,2,0,1,2.6387681818181816,22215.0,2.6387681818181816,2.6387681818181816,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,89440,506,7,610.0,26,2,0,1,4.5,4570.0,4.5,6.180000000000001,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,85548,803,5,635.0,26,2,0,1,3.6318,31930.0,10.492237089201879,8.04664487915145,4,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,85548,803,5,635.0,32,2,0,1,2.296666666666667,10610.0,10.492237089201879,8.04664487915145,4,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,85548,803,5,635.0,52,2,0,1,2.659870422535211,566.4,10.492237089201879,8.04664487915145,4,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,85548,803,5,635.0,84,1,0,0,1.9039,1832.5,10.492237089201879,8.04664487915145,4,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,85579,340,4,520.0,32,2,0,1,2.9126696562546384,20978.0,2.9126696562546384,2.9126696562546384,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,69671,340,4,520.0,32,2,0,1,2.9126696562546384,40722.0,2.9126696562546384,2.9126696562546384,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,98814,919,14,655.0,32,2,0,1,5.886033333333334,31496.5,9.143500000000001,7.835492592592593,2,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,98814,919,14,655.0,40,2,0,1,3.257466666666667,16990.0,9.143500000000001,7.835492592592593,2,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,4024,919,14,655.0,32,2,0,1,14.583333333333334,54893.9,48.50003481481481,57.40731563786009,6,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,4024,919,14,655.0,87,2,0,0,7.778133333333334,13440.0,48.50003481481481,57.40731563786009,6,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,4024,919,14,655.0,17,2,0,1,2.287234814814815,33878.0,48.50003481481481,57.40731563786009,6,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,4024,919,14,655.0,52,2,0,1,8.869333333333332,34170.0,48.50003481481481,57.40731563786009,6,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,4024,919,14,655.0,59,2,0,1,1.122,13731.2,48.50003481481481,57.40731563786009,6,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,4024,919,14,655.0,81,2,0,1,13.86,42580.0,48.50003481481481,57.40731563786009,6,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
14,73332,919,3,655.0,32,2,0,1,0.6041,3599.6,0.6041,0.6041,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,24404,464,14,655.0,32,2,0,1,9.3728,9363.6,9.3728,14.759054320987653,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,1592,464,3,655.0,32,2,0,1,3.6637,1907.4,3.6637,3.6637,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,20943,464,3,655.0,32,2,0,1,1.41,1040.4,1.41,1.41,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,10999,464,3,655.0,32,2,0,1,0.73,346.8,0.73,0.7299999999999999,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
14,23983,464,3,655.0,32,2,0,1,1.01,520.2,1.01,1.01,1,-1.0,-1.0,-1.0,-1.0,0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
